[786, 675, 499, 266, 651, 379, 557, 429, 174, 527]
[128, 288, 724, 20, 373, 231, 172, 749, 509, 719]
[608, 496, 995, 451, 342, 185, 923, 171, 429, 654]
[321, 901, 119, 455, 344, 954, 507, 779, 203, 686]
[720, 65, 227, 435, 967, 23, 699, 875, 13, 223]
[768, 608, 420, 741, 949, 518, 778, 108, 637, 463]
[114, 291, 883, 467, 804, 852, 805, 342, 685, 863]
[416, 642, 778, 186, 347, 139, 27, 653, 990, 174]
[192, 850, 86, 647, 871, 104, 456, 189, 830, 671]
[690, 229, 327, 87, 807, 155, 859, 700, 685, 255]
[224, 337, 673, 195, 708, 678, 680, 59, 699, 365]
[480, 960, 721, 866, 307, 245, 73, 683, 654, 366]
[704, 705, 130, 566, 777, 234, 619, 59, 764, 157]
[176, 849, 563, 772, 997, 454, 521, 57, 492, 477]
[386, 675, 341, 25, 137, 315, 414, 942, 335, 879]
[976, 561, 133, 229, 313, 682, 363, 235, 220, 861]
[832, 146, 483, 979, 421, 550, 262, 921, 763, 654]
[752, 214, 680, 88, 905, 202, 650, 587, 252, 380]
[241, 610, 419, 467, 340, 998, 840, 474, 779, 395]
[641, 834, 36, 502, 166, 183, 440, 984, 9, 414]
[368, 561, 833, 275, 468, 278, 598, 90, 171, 748]
[448, 208, 226, 165, 839, 743, 647, 504, 1000, 109]
